,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_score,away_team_score,home_team_diff,away_team_diff,distance
0,,Tampa Bay Lightning,Pittsburgh Penguins,TBL,PIT,2,6,-4,4,1407.74
1,,Vegas Golden Knights,Seattle Kraken,VEG,SEA,4,3,1,-1,1208.06
2,,Toronto Maple Leafs,Montreal Canadiens,TOR,MTL,2,1,1,-1,781.41
3,,Washington Capitals,New York Rangers,WSH,NYR,5,1,4,-4,330.53
4,,Colorado Avalanche,Chicago Blackhawks,COL,CHI,4,2,2,-2,1462.81
5,,Anaheim Ducks,Winnipeg Jets,ANA,WPG,4,1,3,-3,2519.75
6,SO,Edmonton Oilers,Vancouver Canucks,EDM,VAN,3,2,1,-1,764.76
7,,Buffalo Sabres,Montreal Canadiens,BUF,MTL,5,1,4,-4,835.14
8,OT,New York Rangers,Dallas Stars,NYR,DAL,2,3,-1,1,2208.21
9,OT,Florida Panthers,Pittsburgh Penguins,FLA,PIT,5,4,1,-1,1588.29
10,,Carolina Hurricanes,New York Islanders,CAR,NYI,6,3,3,-3,698.39
11,,Ottawa Senators,Toronto Maple Leafs,OTT,TOR,3,2,1,-1,329.86
12,,Columbus Blue Jackets,Arizona Coyotes,CBJ,ARI,8,2,6,-6,2689.49
13,OT,Detroit Red Wings,Tampa Bay Lightning,DET,TBL,6,7,-1,1,1601.96
14,,Nashville Predators,Seattle Kraken,NSH,SEA,3,4,-1,1,3171.08
15,,Los Angeles Kings,Vegas Golden Knights,LAK,VEG,6,2,4,-4,529.87
16,SO,Philadelphia Flyers,Vancouver Canucks,PHI,VAN,4,5,-1,1,3866.19
17,OT,New Jersey Devils,Chicago Blackhawks,NJD,CHI,4,3,1,-1,1146.28
18,,Anaheim Ducks,Minnesota Wild,ANA,MIN,1,2,-1,1,2522.21
19,SO,Buffalo Sabres,Arizona Coyotes,BUF,ARI,2,1,1,-1,3072.68
20,,Florida Panthers,New York Islanders,FLA,NYI,5,1,4,-4,1728.87
21,OT,Washington Capitals,Tampa Bay Lightning,WSH,TBL,1,2,-1,1,1317.63
22,,Montreal Canadiens,New York Rangers,MTL,NYR,1,3,-2,2,965.62
23,,Pittsburgh Penguins,Chicago Blackhawks,PIT,CHI,5,2,3,-3,674.93
24,OT,Columbus Blue Jackets,Seattle Kraken,CBJ,SEA,2,1,1,-1,3232.86
25,,Toronto Maple Leafs,Ottawa Senators,TOR,OTT,3,1,2,-2,329.86
26,,Boston Bruins,Dallas Stars,BOS,DAL,3,1,2,-2,2493.25
27,,Detroit Red Wings,Vancouver Canucks,DET,VAN,3,1,2,-2,3158.96
28,,Nashville Predators,Carolina Hurricanes,NSH,CAR,2,3,-1,1,728.8
29,,Colorado Avalanche,St. Louis Blues,COL,STL,3,5,-2,2,1280.58
30,,Edmonton Oilers,Calgary Flames,EDM,CGY,5,2,3,-3,172.09
31,,San Jose Sharks,Winnipeg Jets,SJS,WPG,4,3,1,-1,2415.41
32,,Los Angeles Kings,Minnesota Wild,LAK,MIN,2,3,-1,1,2461.56
33,,Ottawa Senators,Dallas Stars,OTT,DAL,3,2,1,-1,2265.74
34,OT,Toronto Maple Leafs,New York Rangers,TOR,NYR,1,2,-1,1,547.8
35,,Philadelphia Flyers,Seattle Kraken,PHI,SEA,6,1,5,-5,3823.0
36,OT,Calgary Flames,Anaheim Ducks,CGY,ANA,2,3,-1,1,1955.31
37,,Arizona Coyotes,St. Louis Blues,ARI,STL,4,7,-3,3,2055.98
38,,Buffalo Sabres,Vancouver Canucks,BUF,VAN,5,2,3,-3,3433.89
39,,New Jersey Devils,Seattle Kraken,NJD,SEA,4,2,2,-2,3853.58
40,SO,Pittsburgh Penguins,Dallas Stars,PIT,DAL,1,2,-1,1,1721.23
41,,Tampa Bay Lightning,Florida Panthers,TBL,FLA,1,4,-3,3,289.3
42,,Washington Capitals,Colorado Avalanche,WSH,COL,6,3,3,-3,2399.4
43,,Montreal Canadiens,San Jose Sharks,MTL,SJS,0,5,-5,5,4052.15
44,,Detroit Red Wings,Columbus Blue Jackets,DET,CBJ,4,1,3,-3,263.77
45,,Nashville Predators,Los Angeles Kings,NSH,LAK,2,1,1,-1,2858.76
46,,Chicago Blackhawks,New York Islanders,CHI,NYI,1,4,-3,3,1183.47
47,OT,Minnesota Wild,Winnipeg Jets,MIN,WPG,6,5,1,-1,628.45
48,,Edmonton Oilers,Anaheim Ducks,EDM,ANA,6,5,1,-1,2127.38
49,,Philadelphia Flyers,Boston Bruins,PHI,BOS,6,3,3,-3,439.91
50,,Vegas Golden Knights,St. Louis Blues,VEG,STL,1,3,-2,2,2171.57
51,,Florida Panthers,Colorado Avalanche,FLA,COL,4,1,3,-3,2739.74
52,,Montreal Canadiens,Carolina Hurricanes,MTL,CAR,1,4,-3,3,1571.76
53,,Ottawa Senators,San Jose Sharks,OTT,SJS,1,2,-1,1,3885.12
54,,New Jersey Devils,Washington Capitals,NJD,WSH,1,4,-3,3,317.63
55,OT,Columbus Blue Jackets,New York Islanders,CBJ,NYI,3,2,1,-1,790.38
56,,Detroit Red Wings,Calgary Flames,DET,CGY,0,3,-3,3,2530.89
57,,Nashville Predators,New York Rangers,NSH,NYR,1,3,-2,2,1225.79
58,,Winnipeg Jets,Anaheim Ducks,WPG,ANA,5,1,4,-4,2519.75
59,,Chicago Blackhawks,Vancouver Canucks,CHI,VAN,1,4,-3,3,2837.55
60,,Arizona Coyotes,Edmonton Oilers,ARI,EDM,1,5,-4,4,2116.68
61,,Toronto Maple Leafs,San Jose Sharks,TOR,SJS,3,5,-2,2,3622.94
62,,Buffalo Sabres,Boston Bruins,BUF,BOS,1,4,-3,3,641.64
63,OT,Dallas Stars,Los Angeles Kings,DAL,LAK,3,2,1,-1,1992.7
64,,Vegas Golden Knights,Edmonton Oilers,VEG,EDM,3,5,-2,2,1611.37
65,OT,Washington Capitals,Calgary Flames,WSH,CGY,3,4,-1,1,3167.49
66,,Ottawa Senators,New York Rangers,OTT,NYR,2,3,-1,1,529.36
67,OT,Minnesota Wild,Anaheim Ducks,MIN,ANA,4,3,1,-1,2522.21
68,,Philadelphia Flyers,Florida Panthers,PHI,FLA,2,4,-2,2,1601.07
69,SO,Tampa Bay Lightning,Colorado Avalanche,TBL,COL,3,4,-1,1,2451.28
70,,Winnipeg Jets,Nashville Predators,WPG,NSH,6,4,2,-2,1739.04
71,,Columbus Blue Jackets,Carolina Hurricanes,CBJ,CAR,1,5,-4,4,596.44
72,,Pittsburgh Penguins,Toronto Maple Leafs,PIT,TOR,7,1,6,-6,359.8
73,OT,New Jersey Devils,Buffalo Sabres,NJD,BUF,2,1,1,-1,456.84
74,,Montreal Canadiens,Detroit Red Wings,MTL,DET,6,1,5,-5,1075.54
75,,St. Louis Blues,Los Angeles Kings,STL,LAK,7,3,4,-4,2554.54
76,,Arizona Coyotes,New York Islanders,ARI,NYI,0,3,-3,3,3479.1
77,,Seattle Kraken,Vancouver Canucks,SEA,VAN,2,4,-2,2,192.35
78,,Boston Bruins,San Jose Sharks,BOS,SJS,4,3,1,-1,4311.1
79,,Minnesota Wild,Nashville Predators,MIN,NSH,2,5,-3,3,1111.22
80,,Chicago Blackhawks,Detroit Red Wings,CHI,DET,3,6,-3,3,396.67
81,,Vegas Golden Knights,New York Islanders,VEG,NYI,0,2,-2,2,3540.03
82,,New York Rangers,Calgary Flames,NYR,CGY,1,5,-4,4,3256.77
83,,Carolina Hurricanes,Toronto Maple Leafs,CAR,TOR,4,1,3,-3,873.57
84,,Florida Panthers,Arizona Coyotes,FLA,ARI,5,3,2,-2,3173.5
85,,Ottawa Senators,Washington Capitals,OTT,WSH,5,7,-2,2,717.2
86,,Columbus Blue Jackets,Dallas Stars,CBJ,DAL,4,1,3,-3,1468.5
87,,Buffalo Sabres,Tampa Bay Lightning,BUF,TBL,5,1,4,-4,1691.27
88,,St. Louis Blues,Los Angeles Kings,STL,LAK,3,0,3,-3,2554.54
89,,New Jersey Devils,Calgary Flames,NJD,CGY,3,5,-2,2,3245.46
90,,Pittsburgh Penguins,Tampa Bay Lightning,PIT,TBL,1,5,-4,4,1407.74
91,,Colorado Avalanche,Vegas Golden Knights,COL,VEG,1,3,-2,2,898.13
92,,Nashville Predators,San Jose Sharks,NSH,SJS,3,1,2,-2,3111.15
93,,Anaheim Ducks,Winnipeg Jets,ANA,WPG,3,4,-1,1,2519.75
94,,Seattle Kraken,Montreal Canadiens,SEA,MTL,5,1,4,-4,3535.06
95,,Vancouver Canucks,Minnesota Wild,VAN,MIN,2,3,-1,1,2305.29
96,OT,Washington Capitals,Detroit Red Wings,WSH,DET,2,3,-1,1,636.84
97,,Florida Panthers,Boston Bruins,FLA,BOS,4,1,3,-3,1990.14
98,OT,Chicago Blackhawks,Toronto Maple Leafs,CHI,TOR,2,3,-1,1,716.38
99,OT,Dallas Stars,Vegas Golden Knights,DAL,VEG,2,3,-1,1,1761.93
100,,Edmonton Oilers,Philadelphia Flyers,EDM,PHI,3,5,-2,2,3216.93
101,,Pittsburgh Penguins,Calgary Flames,PIT,CGY,0,4,-4,4,2861.39
102,,Tampa Bay Lightning,Arizona Coyotes,TBL,ARI,5,1,4,-4,2905.37
103,,Carolina Hurricanes,Boston Bruins,CAR,BOS,3,0,3,-3,983.85
104,,St. Louis Blues,Colorado Avalanche,STL,COL,3,4,-1,1,1280.58
105,,Vancouver Canucks,Philadelphia Flyers,VAN,PHI,1,2,-1,1,3866.19
106,,Seattle Kraken,Minnesota Wild,SEA,MIN,4,1,3,-3,2253.94
107,OT,Anaheim Ducks,Buffalo Sabres,ANA,BUF,3,4,-1,1,3594.23
108,,Los Angeles Kings,Winnipeg Jets,LAK,WPG,2,3,-1,1,2464.45
109,,San Jose Sharks,Montreal Canadiens,SJS,MTL,0,4,-4,4,4052.15
110,,Washington Capitals,Arizona Coyotes,WSH,ARI,2,0,2,-2,3196.82
111,OT,Detroit Red Wings,Florida Panthers,DET,FLA,2,3,-1,1,1816.57
112,,New York Rangers,Columbus Blue Jackets,NYR,CBJ,4,0,4,-4,768.2
113,,Carolina Hurricanes,Chicago Blackhawks,CAR,CHI,6,3,3,-3,1037.24
114,SO,Vegas Golden Knights,Anaheim Ducks,VEG,ANA,5,4,1,-1,582.02
115,,Dallas Stars,Ottawa Senators,DAL,OTT,1,4,-3,3,2265.74
116,SO,Nashville Predators,New York Islanders,NSH,NYI,3,2,1,-1,1245.4
117,,Los Angeles Kings,Montreal Canadiens,LAK,MTL,5,2,3,-3,4010.59
118,,Pittsburgh Penguins,New Jersey Devils,PIT,NJD,2,4,-2,2,492.3
119,SO,Boston Bruins,Florida Panthers,BOS,FLA,3,2,1,-1,1990.14
120,,Toronto Maple Leafs,Detroit Red Wings,TOR,DET,5,4,1,-1,332.14
121,OT,San Jose Sharks,Winnipeg Jets,SJS,WPG,2,1,1,-1,2415.41
122,,St. Louis Blues,Chicago Blackhawks,STL,CHI,1,0,1,-1,414.26
123,,Colorado Avalanche,Minnesota Wild,COL,MIN,4,1,3,-3,1134.64
124,,Calgary Flames,Philadelphia Flyers,CGY,PHI,4,0,4,-4,3228.86
125,,Vancouver Canucks,Edmonton Oilers,VAN,EDM,1,2,-1,1,764.76
126,,Carolina Hurricanes,Arizona Coyotes,CAR,ARI,2,1,1,-1,3062.76
127,,Anaheim Ducks,Montreal Canadiens,ANA,MTL,4,2,2,-2,4070.73
128,,Los Angeles Kings,Buffalo Sabres,LAK,BUF,3,2,1,-1,3532.3
129,SO,New Jersey Devils,Columbus Blue Jackets,NJD,CBJ,3,4,-1,1,753.16
130,,Seattle Kraken,New York Rangers,SEA,NYR,1,3,-2,2,3865.9
131,,Tampa Bay Lightning,Washington Capitals,TBL,WSH,3,2,1,-1,1317.63
132,,Chicago Blackhawks,Ottawa Senators,CHI,OTT,5,1,4,-4,1029.48
133,,Edmonton Oilers,Seattle Kraken,EDM,SEA,5,2,3,-3,835.11
134,,Philadelphia Flyers,Arizona Coyotes,PHI,ARI,3,0,3,-3,3355.76
135,,Toronto Maple Leafs,Vegas Golden Knights,TOR,VEG,4,0,4,-4,3047.72
136,,Montreal Canadiens,Detroit Red Wings,MTL,DET,3,0,3,-3,1075.54
137,SO,Winnipeg Jets,Dallas Stars,WPG,DAL,4,3,1,-1,1901.88
138,OT,Minnesota Wild,Ottawa Senators,MIN,OTT,5,4,1,-1,1345.49
139,OT,Calgary Flames,Nashville Predators,CGY,NSH,2,3,-1,1,2721.12
140,OT,Vancouver Canucks,New York Rangers,VAN,NYR,3,2,1,-1,3902.27
141,,Anaheim Ducks,New Jersey Devils,ANA,NJD,4,0,4,-4,3986.12
142,,San Jose Sharks,Buffalo Sabres,SJS,BUF,5,3,2,-2,3670.1
143,,Chicago Blackhawks,Carolina Hurricanes,CHI,CAR,3,4,-1,1,1037.24
144,,Edmonton Oilers,Nashville Predators,EDM,NSH,5,2,3,-3,2768.26
145,OT,Colorado Avalanche,Columbus Blue Jackets,COL,CBJ,4,5,-1,1,1873.33
146,SO,Los Angeles Kings,St. Louis Blues,LAK,STL,3,2,1,-1,2554.54
147,OT,Florida Panthers,Washington Capitals,FLA,WSH,5,4,1,-1,1449.77
148,OT,Toronto Maple Leafs,Tampa Bay Lightning,TOR,TBL,2,1,1,-1,1767.34
149,,Boston Bruins,Detroit Red Wings,BOS,DET,5,1,4,-4,984.67
150,OT,Pittsburgh Penguins,Philadelphia Flyers,PIT,PHI,3,2,1,-1,413.61
151,,Montreal Canadiens,New York Islanders,MTL,NYI,2,6,-4,4,969.4
152,,Ottawa Senators,Vegas Golden Knights,OTT,VEG,1,5,-4,4,3320.35
153,OT,Calgary Flames,Dallas Stars,CGY,DAL,3,4,-1,1,2467.03
154,,Seattle Kraken,Buffalo Sabres,SEA,BUF,5,2,3,-3,3398.68
155,,San Jose Sharks,St. Louis Blues,SJS,STL,3,5,-2,2,2768.21
156,,Winnipeg Jets,Chicago Blackhawks,WPG,CHI,5,1,4,-4,1144.51
157,OT,Edmonton Oilers,New York Rangers,EDM,NYR,6,5,1,-1,3237.36
158,,Anaheim Ducks,Arizona Coyotes,ANA,ARI,3,1,2,-2,612.86
159,,Vancouver Canucks,Nashville Predators,VAN,NSH,2,3,-1,1,3262.87
160,OT,Los Angeles Kings,New Jersey Devils,LAK,NJD,3,2,1,-1,3924.11
161,,Ottawa Senators,Tampa Bay Lightning,OTT,TBL,3,5,-2,2,2013.89
162,,Florida Panthers,Carolina Hurricanes,FLA,CAR,5,2,3,-3,1083.26
163,,Washington Capitals,Philadelphia Flyers,WSH,PHI,1,2,-1,1,194.12
164,SO,Pittsburgh Penguins,Minnesota Wild,PIT,MIN,4,5,-1,1,1181.08
165,,Montreal Canadiens,Vegas Golden Knights,MTL,VEG,2,5,-3,3,3517.78
166,OT,Buffalo Sabres,Detroit Red Wings,BUF,DET,3,4,-1,1,347.05
167,,Winnipeg Jets,New York Islanders,WPG,NYI,0,2,-2,2,2084.06
168,,Columbus Blue Jackets,Colorado Avalanche,CBJ,COL,4,2,2,-2,1873.33
169,,Toronto Maple Leafs,Boston Bruins,TOR,BOS,5,2,3,-3,690.73
170,,Arizona Coyotes,Seattle Kraken,ARI,SEA,5,4,1,-1,1780.08
171,,Calgary Flames,New York Rangers,CGY,NYR,6,0,6,-6,3256.77
172,SO,San Jose Sharks,New Jersey Devils,SJS,NJD,2,3,-1,1,4089.19
173,,Detroit Red Wings,Vegas Golden Knights,DET,VEG,5,2,3,-3,2750.91
174,OT,Chicago Blackhawks,Nashville Predators,CHI,NSH,2,1,1,-1,642.16
175,,Anaheim Ducks,St. Louis Blues,ANA,STL,4,1,3,-3,2616.32
176,,Minnesota Wild,New York Islanders,MIN,NYI,5,2,3,-3,1643.96
177,,Vancouver Canucks,Dallas Stars,VAN,DAL,6,3,3,-3,2842.37
178,,Washington Capitals,Buffalo Sabres,WSH,BUF,5,3,2,-2,468.87
179,,New York Rangers,Florida Panthers,NYR,FLA,4,3,1,-1,1724.36
180,,Toronto Maple Leafs,Los Angeles Kings,TOR,LAK,1,5,-4,4,3497.01
181,OT,Tampa Bay Lightning,Carolina Hurricanes,TBL,CAR,1,2,-1,1,942.12
182,,New Jersey Devils,Florida Panthers,NJD,FLA,7,3,4,-4,1717.13
183,OT,Montreal Canadiens,Los Angeles Kings,MTL,LAK,2,3,-1,1,4010.59
184,,Boston Bruins,Ottawa Senators,BOS,OTT,3,2,1,-1,508.24
185,,Detroit Red Wings,Edmonton Oilers,DET,EDM,4,2,2,-2,2529.54
186,SO,Winnipeg Jets,St. Louis Blues,WPG,STL,2,3,-1,1,1367.81
187,SO,Chicago Blackhawks,Pittsburgh Penguins,CHI,PIT,3,2,1,-1,674.93
188,,Calgary Flames,San Jose Sharks,CGY,SJS,1,4,-3,3,1645.16
189,OT,Vancouver Canucks,Anaheim Ducks,VAN,ANA,2,3,-1,1,1755.15
190,,Vegas Golden Knights,Seattle Kraken,VEG,SEA,4,2,2,-2,1208.06
191,,Philadelphia Flyers,Toronto Maple Leafs,PHI,TOR,0,3,-3,3,542.88
192,,Dallas Stars,Nashville Predators,DAL,NSH,2,4,-2,2,989.46
193,,Arizona Coyotes,Minnesota Wild,ARI,MIN,2,5,-3,3,2072.7
194,,Boston Bruins,Edmonton Oilers,BOS,EDM,3,5,-2,2,3329.1
195,,Montreal Canadiens,Calgary Flames,MTL,CGY,4,2,2,-2,2848.55
196,,New Jersey Devils,New York Islanders,NJD,NYI,4,0,4,-4,37.49
197,SO,Pittsburgh Penguins,Florida Panthers,PIT,FLA,3,2,1,-1,1588.29
198,,Ottawa Senators,Los Angeles Kings,OTT,LAK,0,2,-2,2,3784.07
199,,Detroit Red Wings,Washington Capitals,DET,WSH,0,2,-2,2,636.84
200,,Winnipeg Jets,San Jose Sharks,WPG,SJS,4,1,3,-3,2415.41
201,OT,St. Louis Blues,Nashville Predators,STL,NSH,3,4,-1,1,406.14
202,,Colorado Avalanche,Vancouver Canucks,COL,VAN,7,1,6,-6,1776.45
203,,Seattle Kraken,Anaheim Ducks,SEA,ANA,4,7,-3,3,1563.35
204,,Vegas Golden Knights,Minnesota Wild,VEG,MIN,3,2,1,-1,1981.11
205,OT,Toronto Maple Leafs,Calgary Flames,TOR,CGY,2,1,1,-1,2710.22
206,,Buffalo Sabres,Edmonton Oilers,BUF,EDM,3,2,1,-1,2771.35
207,,Carolina Hurricanes,Philadelphia Flyers,CAR,PHI,1,2,-1,1,551.94
208,,Columbus Blue Jackets,Washington Capitals,CBJ,WSH,3,4,-1,1,527.51
209,,Chicago Blackhawks,Arizona Coyotes,CHI,ARI,2,1,1,-1,2331.11
210,,New Jersey Devils,Boston Bruins,NJD,BOS,2,5,-3,3,316.02
211,OT,Tampa Bay Lightning,Florida Panthers,TBL,FLA,3,2,1,-1,289.3
212,,Ottawa Senators,Pittsburgh Penguins,OTT,PIT,6,3,3,-3,633.3
213,,Columbus Blue Jackets,New York Rangers,CBJ,NYR,3,5,-2,2,768.2
214,OT,Winnipeg Jets,Los Angeles Kings,WPG,LAK,3,2,1,-1,2464.45
215,,Buffalo Sabres,Toronto Maple Leafs,BUF,TOR,4,5,-1,1,94.64
216,OT,Detroit Red Wings,Montreal Canadiens,DET,MTL,3,2,1,-1,1075.54
217,,Carolina Hurricanes,St. Louis Blues,CAR,STL,3,2,1,-1,1063.14
218,,Dallas Stars,Philadelphia Flyers,DAL,PHI,5,2,3,-3,2086.25
219,,Nashville Predators,Arizona Coyotes,NSH,ARI,4,1,3,-3,2333.98
220,,Colorado Avalanche,San Jose Sharks,COL,SJS,6,2,4,-4,1491.28
221,,Seattle Kraken,Minnesota Wild,SEA,MIN,2,4,-2,2,2253.94
222,,Vegas Golden Knights,Vancouver Canucks,VEG,VAN,7,4,3,-3,1394.82
223,,Ottawa Senators,Calgary Flames,OTT,CGY,0,4,-4,4,2864.39
224,,Washington Capitals,Pittsburgh Penguins,WSH,PIT,6,1,5,-5,306.41
225,,St. Louis Blues,Edmonton Oilers,STL,EDM,4,5,-1,1,2364.74
226,SO,New York Rangers,New Jersey Devils,NYR,NJD,4,3,1,-1,15.07
227,,Boston Bruins,Montreal Canadiens,BOS,MTL,5,2,3,-3,808.87
228,,Anaheim Ducks,Vancouver Canucks,ANA,VAN,5,1,4,-4,1755.15
229,,Tampa Bay Lightning,New York Islanders,TBL,NYI,4,1,3,-3,1628.24
230,,Columbus Blue Jackets,Detroit Red Wings,CBJ,DET,5,3,2,-2,263.77
231,,Pittsburgh Penguins,Buffalo Sabres,PIT,BUF,1,2,-1,1,286.16
232,,Toronto Maple Leafs,Nashville Predators,TOR,NSH,3,0,3,-3,1045.26
233,,New York Rangers,Montreal Canadiens,NYR,MTL,3,2,1,-1,965.62
234,,Florida Panthers,New York Islanders,FLA,NYI,6,1,5,-5,1728.87
235,OT,Philadelphia Flyers,Calgary Flames,PHI,CGY,2,1,1,-1,3228.86
236,,Winnipeg Jets,Edmonton Oilers,WPG,EDM,5,2,3,-3,1173.77
237,,St. Louis Blues,Arizona Coyotes,STL,ARI,2,3,-1,1,2055.98
238,,Minnesota Wild,San Jose Sharks,MIN,SJS,1,4,-3,3,2539.97
239,,Dallas Stars,Detroit Red Wings,DAL,DET,5,2,3,-3,1607.96
240,OT,Anaheim Ducks,Washington Capitals,ANA,WSH,3,2,1,-1,3757.68
241,,Vegas Golden Knights,Carolina Hurricanes,VEG,CAR,2,4,-2,2,3228.79
242,,Vancouver Canucks,Colorado Avalanche,VAN,COL,2,4,-2,2,1776.45
243,,Seattle Kraken,Chicago Blackhawks,SEA,CHI,2,4,-2,2,2775.82
244,,Los Angeles Kings,Washington Capitals,LAK,WSH,0,2,-2,2,3695.83
245,,Toronto Maple Leafs,New York Rangers,TOR,NYR,2,1,1,-1,547.8
246,SO,Philadelphia Flyers,Tampa Bay Lightning,PHI,TBL,3,4,-1,1,1488.37
247,,Montreal Canadiens,Pittsburgh Penguins,MTL,PIT,0,6,-6,6,1119.12
248,,Buffalo Sabres,Calgary Flames,BUF,CGY,0,5,-5,5,2788.75
249,,Florida Panthers,New Jersey Devils,FLA,NJD,4,1,3,-3,1717.13
250,,Minnesota Wild,Dallas Stars,MIN,DAL,7,2,5,-5,1388.69
251,,St. Louis Blues,San Jose Sharks,STL,SJS,4,1,3,-3,2768.21
252,SO,Edmonton Oilers,Winnipeg Jets,EDM,WPG,2,1,1,-1,1173.77
253,SO,Arizona Coyotes,Columbus Blue Jackets,ARI,CBJ,4,5,-1,1,2689.49
254,,Anaheim Ducks,Carolina Hurricanes,ANA,CAR,1,2,-1,1,3647.26
255,,Vegas Golden Knights,Detroit Red Wings,VEG,DET,5,2,3,-3,2750.91
256,,Vancouver Canucks,Winnipeg Jets,VAN,WPG,3,2,1,-1,1863.68
257,,Seattle Kraken,Colorado Avalanche,SEA,COL,3,7,-4,4,1641.17
258,,Los Angeles Kings,Carolina Hurricanes,LAK,CAR,4,5,-1,1,3586.2
259,,Tampa Bay Lightning,New Jersey Devils,TBL,NJD,3,5,-2,2,1610.85
260,,Florida Panthers,Minnesota Wild,FLA,MIN,5,4,1,-1,2380.58
261,,Toronto Maple Leafs,Pittsburgh Penguins,TOR,PIT,0,2,-2,2,359.8
