,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_score,away_team_score,home_team_diff,away_team_diff,distance
789,,Chicago Blackhawks,Florida Panthers,CHI,FLA,2,5,-3,3,1877.92
790,,Ottawa Senators,New York Rangers,OTT,NYR,1,2,-1,1,529.36
791,,Columbus Blue Jackets,Buffalo Sabres,CBJ,BUF,7,3,4,-4,472.07
792,,Arizona Coyotes,Dallas Stars,ARI,DAL,3,1,2,-2,1439.29
793,,San Jose Sharks,Vegas Golden Knights,SJS,VEG,1,4,-3,3,597.36
794,,Edmonton Oilers,Minnesota Wild,EDM,MIN,3,7,-4,4,1709.3
795,,Boston Bruins,Colorado Avalanche,BOS,COL,5,1,4,-4,2842.04
796,OT,Philadelphia Flyers,Carolina Hurricanes,PHI,CAR,3,4,-1,1,551.94
797,,Calgary Flames,Winnipeg Jets,CGY,WPG,3,1,2,-2,1200.88
798,,Montreal Canadiens,Toronto Maple Leafs,MTL,TOR,5,2,3,-3,781.41
799,,Vancouver Canucks,Seattle Kraken,VAN,SEA,5,2,3,-3,192.35
800,,Ottawa Senators,Minnesota Wild,OTT,MIN,4,3,1,-1,1345.49
801,,Florida Panthers,Nashville Predators,FLA,NSH,4,6,-2,2,1271.0
802,OT,Columbus Blue Jackets,Toronto Maple Leafs,CBJ,TOR,4,3,1,-1,507.1
803,,Philadelphia Flyers,St. Louis Blues,PHI,STL,1,4,-3,3,1300.18
804,,Seattle Kraken,New York Islanders,SEA,NYI,2,5,-3,3,3887.74
805,SO,Anaheim Ducks,San Jose Sharks,ANA,SJS,4,3,1,-1,477.91
806,,Tampa Bay Lightning,Edmonton Oilers,TBL,EDM,5,3,2,-2,3743.86
807,,Detroit Red Wings,Colorado Avalanche,DET,COL,2,5,-3,3,1858.09
808,,Montreal Canadiens,Buffalo Sabres,MTL,BUF,4,0,4,-4,835.14
809,OT,Dallas Stars,Winnipeg Jets,DAL,WPG,3,2,1,-1,1901.88
810,,Arizona Coyotes,Los Angeles Kings,ARI,LAK,2,3,-1,1,557.86
811,,New York Rangers,Washington Capitals,NYR,WSH,4,1,3,-3,330.53
812,,Toronto Maple Leafs,Minnesota Wild,TOR,MIN,3,1,2,-2,1100.31
813,,Florida Panthers,Columbus Blue Jackets,FLA,CBJ,3,6,-3,3,1555.67
814,,Pittsburgh Penguins,New Jersey Devils,PIT,NJD,1,6,-5,5,492.3
815,SO,Nashville Predators,Dallas Stars,NSH,DAL,2,1,1,-1,989.46
816,,Vancouver Canucks,Calgary Flames,VAN,CGY,7,1,6,-6,673.71
817,OT,Seattle Kraken,Boston Bruins,SEA,BOS,2,3,-1,1,4000.79
818,SO,San Jose Sharks,New York Islanders,SJS,NYI,4,3,1,-1,4126.39
819,,Carolina Hurricanes,Columbus Blue Jackets,CAR,CBJ,4,0,4,-4,596.44
820,,St. Louis Blues,Buffalo Sabres,STL,BUF,5,3,2,-2,1063.39
821,,Chicago Blackhawks,New Jersey Devils,CHI,NJD,8,5,3,-3,1146.28
822,,Colorado Avalanche,Winnipeg Jets,COL,WPG,6,3,3,-3,1285.59
823,,Arizona Coyotes,Vegas Golden Knights,ARI,VEG,3,1,2,-2,572.19
824,,Anaheim Ducks,Los Angeles Kings,ANA,LAK,1,4,-3,3,62.02
825,,Philadelphia Flyers,Washington Capitals,PHI,WSH,2,1,1,-1,194.12
826,,Florida Panthers,Edmonton Oilers,FLA,EDM,3,4,-1,1,4026.49
827,,Pittsburgh Penguins,New York Rangers,PIT,NYR,1,0,1,-1,507.31
828,,Ottawa Senators,Montreal Canadiens,OTT,MTL,1,2,-1,1,492.57
829,,Detroit Red Wings,Toronto Maple Leafs,DET,TOR,7,10,-3,3,332.14
830,,Nashville Predators,Tampa Bay Lightning,NSH,TBL,2,3,-1,1,1001.46
831,,Vegas Golden Knights,Colorado Avalanche,VEG,COL,2,3,-1,1,898.13
832,,San Jose Sharks,Boston Bruins,SJS,BOS,1,3,-2,2,4311.1
833,,Calgary Flames,Minnesota Wild,CGY,MIN,7,3,4,-4,1692.37
834,,Los Angeles Kings,New York Islanders,LAK,NYI,5,2,3,-3,3961.6
835,,Carolina Hurricanes,Edmonton Oilers,CAR,EDM,2,1,1,-1,3291.13
836,,Dallas Stars,Buffalo Sabres,DAL,BUF,4,2,2,-2,1926.74
837,,Chicago Blackhawks,St. Louis Blues,CHI,STL,0,4,-4,4,414.26
838,,Arizona Coyotes,Winnipeg Jets,ARI,WPG,3,5,-2,2,2200.88
839,,Columbus Blue Jackets,Pittsburgh Penguins,CBJ,PIT,2,3,-1,1,261.48
840,,New York Rangers,Vancouver Canucks,NYR,VAN,2,5,-3,3,3902.27
841,,Anaheim Ducks,New York Islanders,ANA,NYI,0,4,-4,4,4023.61
842,,San Jose Sharks,Seattle Kraken,SJS,SEA,3,1,2,-2,1144.71
843,,New Jersey Devils,Vancouver Canucks,NJD,VAN,7,2,5,-5,3890.41
844,,Washington Capitals,Toronto Maple Leafs,WSH,TOR,3,5,-2,2,563.18
845,,Los Angeles Kings,Boston Bruins,LAK,BOS,0,7,-7,7,4171.69
846,,Philadelphia Flyers,Edmonton Oilers,PHI,EDM,0,3,-3,3,3216.93
847,,Tampa Bay Lightning,Ottawa Senators,TBL,OTT,5,2,3,-3,2013.89
848,,Columbus Blue Jackets,New Jersey Devils,CBJ,NJD,4,3,1,-1,753.16
849,OT,Detroit Red Wings,Carolina Hurricanes,DET,CAR,4,3,1,-1,817.26
850,,Minnesota Wild,Calgary Flames,MIN,CGY,1,5,-4,4,1692.37
851,,Winnipeg Jets,Montreal Canadiens,WPG,MTL,8,4,4,-4,1690.57
852,,Colorado Avalanche,New York Islanders,COL,NYI,5,3,2,-2,2643.56
853,,Anaheim Ducks,Boston Bruins,ANA,BOS,4,3,1,-1,4233.66
854,,Vegas Golden Knights,San Jose Sharks,VEG,SJS,3,1,2,-2,597.36
855,,New York Rangers,St. Louis Blues,NYR,STL,5,3,2,-2,1404.81
856,,Toronto Maple Leafs,Buffalo Sabres,TOR,BUF,1,5,-4,4,94.64
857,,Dallas Stars,Los Angeles Kings,DAL,LAK,4,3,1,-1,1992.7
858,,Seattle Kraken,Nashville Predators,SEA,NSH,4,3,1,-1,3171.08
859,,Florida Panthers,Ottawa Senators,FLA,OTT,3,0,3,-3,2163.96
860,,Philadelphia Flyers,Minnesota Wild,PHI,MIN,4,5,-1,1,1570.78
861,,Tampa Bay Lightning,Pittsburgh Penguins,TBL,PIT,1,5,-4,4,1407.74
862,,Washington Capitals,Carolina Hurricanes,WSH,CAR,4,0,4,-4,375.51
863,,New York Islanders,Vancouver Canucks,NYI,VAN,3,4,-1,1,3923.73
864,OT,Chicago Blackhawks,Edmonton Oilers,CHI,EDM,4,3,1,-1,2254.79
865,OT,Calgary Flames,Montreal Canadiens,CGY,MTL,4,5,-1,1,2848.55
866,,Vegas Golden Knights,Boston Bruins,VEG,BOS,2,5,-3,3,3732.53
867,,Arizona Coyotes,Colorado Avalanche,ARI,COL,2,1,1,-1,946.27
868,,Buffalo Sabres,Minnesota Wild,BUF,MIN,5,4,1,-1,1160.91
869,,New York Rangers,New Jersey Devils,NYR,NJD,3,1,2,-2,15.07
870,OT,Carolina Hurricanes,Pittsburgh Penguins,CAR,PIT,3,2,1,-1,527.28
871,OT,Columbus Blue Jackets,Los Angeles Kings,CBJ,LAK,3,4,-1,1,3178.03
872,,Tampa Bay Lightning,Detroit Red Wings,TBL,DET,3,1,2,-2,1601.96
873,OT,Winnipeg Jets,Dallas Stars,WPG,DAL,3,4,-1,1,1901.88
874,,Anaheim Ducks,Vegas Golden Knights,ANA,VEG,4,5,-1,1,582.02
875,,New York Islanders,St. Louis Blues,NYI,STL,2,1,1,-1,1426.89
876,,Philadelphia Flyers,Chicago Blackhawks,PHI,CHI,4,3,1,-1,1084.99
877,,Arizona Coyotes,Ottawa Senators,ARI,OTT,8,5,3,-3,3349.03
878,,Florida Panthers,Detroit Red Wings,FLA,DET,6,2,4,-4,1816.57
879,,Edmonton Oilers,Montreal Canadiens,EDM,MTL,2,5,-3,3,2779.88
880,SO,Columbus Blue Jackets,Boston Bruins,CBJ,BOS,4,5,-1,1,1033.7
881,,Toronto Maple Leafs,Vancouver Canucks,TOR,VAN,4,6,-2,2,3358.89
882,,Washington Capitals,Seattle Kraken,WSH,SEA,5,2,3,-3,3739.52
883,,San Jose Sharks,Nashville Predators,SJS,NSH,0,8,-8,8,3111.15
884,OT,Colorado Avalanche,Calgary Flames,COL,CGY,3,4,-1,1,1437.85
885,OT,New Jersey Devils,St. Louis Blues,NJD,STL,3,2,1,-1,1389.75
886,,Buffalo Sabres,Los Angeles Kings,BUF,LAK,0,3,-3,3,3532.3
887,,Minnesota Wild,Dallas Stars,MIN,DAL,3,6,-3,3,1388.69
888,,Winnipeg Jets,New York Rangers,WPG,NYR,1,4,-3,3,2063.6
889,,Carolina Hurricanes,Seattle Kraken,CAR,SEA,3,2,1,-1,3794.61
890,,Chicago Blackhawks,Tampa Bay Lightning,CHI,TBL,3,6,-3,3,1624.48
891,OT,Anaheim Ducks,San Jose Sharks,ANA,SJS,3,2,1,-1,477.91
892,,Vegas Golden Knights,Ottawa Senators,VEG,OTT,2,1,1,-1,3320.35
893,,Buffalo Sabres,Florida Panthers,BUF,FLA,1,6,-5,5,1863.46
894,OT,Boston Bruins,Los Angeles Kings,BOS,LAK,2,3,-1,1,4171.69
895,,Columbus Blue Jackets,Toronto Maple Leafs,CBJ,TOR,4,5,-1,1,507.1
896,,New York Islanders,Colorado Avalanche,NYI,COL,4,5,-1,1,2643.56
897,,Calgary Flames,Edmonton Oilers,CGY,EDM,3,1,2,-2,172.09
898,,Pittsburgh Penguins,Florida Panthers,PIT,FLA,3,4,-1,1,1588.29
899,,New Jersey Devils,Colorado Avalanche,NJD,COL,5,3,2,-2,2606.17
900,,Philadelphia Flyers,Vegas Golden Knights,PHI,VEG,2,1,1,-1,3433.87
901,,Detroit Red Wings,Arizona Coyotes,DET,ARI,2,9,-7,7,2725.62
902,,Toronto Maple Leafs,Seattle Kraken,TOR,SEA,6,4,2,-2,3327.21
903,,Minnesota Wild,New York Rangers,MIN,NYR,5,2,3,-3,1621.63
904,,Nashville Predators,Dallas Stars,NSH,DAL,2,1,1,-1,989.46
905,,St. Louis Blues,Ottawa Senators,STL,OTT,1,4,-3,3,1390.93
906,,Winnipeg Jets,Tampa Bay Lightning,WPG,TBL,7,4,3,-3,2740.5
907,,Chicago Blackhawks,Anaheim Ducks,CHI,ANA,8,3,5,-5,2852.43
908,,Calgary Flames,Washington Capitals,CGY,WSH,4,5,-1,1,3167.49
909,OT,Edmonton Oilers,Washington Capitals,EDM,WSH,4,3,1,-1,3165.99
910,,Vancouver Canucks,Montreal Canadiens,VAN,MTL,5,3,2,-2,3522.19
911,OT,Ottawa Senators,Seattle Kraken,OTT,SEA,4,3,1,-1,3512.18
912,,Buffalo Sabres,Vegas Golden Knights,BUF,VEG,3,1,2,-2,3090.89
913,SO,Detroit Red Wings,Minnesota Wild,DET,MIN,5,6,-1,1,857.95
914,OT,Toronto Maple Leafs,Arizona Coyotes,TOR,ARI,4,5,-1,1,3046.59
915,,Florida Panthers,Philadelphia Flyers,FLA,PHI,6,3,3,-3,1601.07
916,,Boston Bruins,Chicago Blackhawks,BOS,CHI,4,3,1,-1,1381.23
917,,Carolina Hurricanes,Colorado Avalanche,CAR,COL,2,0,2,-2,2342.7
918,,New Jersey Devils,Winnipeg Jets,NJD,WPG,1,2,-1,1,2052.85
919,,New York Islanders,Columbus Blue Jackets,NYI,CBJ,6,0,6,-6,790.38
920,,St. Louis Blues,New York Rangers,STL,NYR,6,2,4,-4,1404.81
921,,Nashville Predators,Anaheim Ducks,NSH,ANA,4,1,3,-3,2919.66
922,,Calgary Flames,Tampa Bay Lightning,CGY,TBL,4,1,3,-3,3683.25
923,OT,Los Angeles Kings,San Jose Sharks,LAK,SJS,3,4,-1,1,491.36
924,,Pittsburgh Penguins,Vegas Golden Knights,PIT,VEG,5,2,3,-3,3020.26
925,SO,Columbus Blue Jackets,Minnesota Wild,CBJ,MIN,3,2,1,-1,994.8
926,,New York Islanders,Winnipeg Jets,NYI,WPG,5,2,3,-3,2084.06
927,OT,Vancouver Canucks,Washington Capitals,VAN,WSH,3,4,-1,1,3791.93
928,,Nashville Predators,St. Louis Blues,NSH,STL,4,7,-3,3,406.14
929,,Carolina Hurricanes,Philadelphia Flyers,CAR,PHI,3,1,2,-2,551.94
930,,Calgary Flames,Detroit Red Wings,CGY,DET,3,0,3,-3,2530.89
931,SO,Montreal Canadiens,Seattle Kraken,MTL,SEA,3,4,-1,1,3535.06
932,,Boston Bruins,Arizona Coyotes,BOS,ARI,3,2,1,-1,3704.53
933,SO,New Jersey Devils,Anaheim Ducks,NJD,ANA,2,1,1,-1,3986.12
934,,Ottawa Senators,Chicago Blackhawks,OTT,CHI,3,6,-3,3,1029.48
935,,Dallas Stars,New York Rangers,DAL,NYR,4,7,-3,3,2208.21
936,,San Jose Sharks,Los Angeles Kings,SJS,LAK,5,0,5,-5,491.36
937,,Edmonton Oilers,Tampa Bay Lightning,EDM,TBL,4,1,3,-3,3743.86
938,,Pittsburgh Penguins,Carolina Hurricanes,PIT,CAR,4,2,2,-2,527.28
939,,Buffalo Sabres,Toronto Maple Leafs,BUF,TOR,5,2,3,-3,94.64
940,OT,St. Louis Blues,Winnipeg Jets,STL,WPG,3,4,-1,1,1367.81
941,,Columbus Blue Jackets,Vegas Golden Knights,CBJ,VEG,6,4,2,-2,2771.42
942,,Minnesota Wild,Nashville Predators,MIN,NSH,2,6,-4,4,1111.22
943,OT,Philadelphia Flyers,Montreal Canadiens,PHI,MTL,3,4,-1,1,1066.99
944,,New York Islanders,Anaheim Ducks,NYI,ANA,4,3,1,-1,4023.61
945,,Colorado Avalanche,Calgary Flames,COL,CGY,3,0,3,-3,1437.85
946,,Vancouver Canucks,Tampa Bay Lightning,VAN,TBL,1,2,-1,1,4180.25
947,SO,Los Angeles Kings,Florida Panthers,LAK,FLA,3,2,1,-1,3731.27
948,,Ottawa Senators,Arizona Coyotes,OTT,ARI,3,5,-2,2,3349.03
949,,Toronto Maple Leafs,Dallas Stars,TOR,DAL,4,0,4,-4,1936.12
950,,Montreal Canadiens,Arizona Coyotes,MTL,ARI,3,6,-3,3,3621.28
951,SO,Washington Capitals,New York Islanders,WSH,NYI,4,3,1,-1,346.17
952,OT,New York Rangers,Anaheim Ducks,NYR,ANA,4,3,1,-1,4000.93
953,,Nashville Predators,Pittsburgh Penguins,NSH,PIT,4,1,3,-3,761.82
954,,Winnipeg Jets,Vegas Golden Knights,WPG,VEG,7,3,4,-4,1939.98
955,OT,Chicago Blackhawks,Boston Bruins,CHI,BOS,1,2,-1,1,1381.23
956,,Edmonton Oilers,Detroit Red Wings,EDM,DET,7,5,2,-2,2529.54
957,,Vancouver Canucks,New Jersey Devils,VAN,NJD,6,3,3,-3,3890.41
958,OT,San Jose Sharks,Florida Panthers,SJS,FLA,2,3,-1,1,4086.45
959,,Los Angeles Kings,Colorado Avalanche,LAK,COL,0,3,-3,3,1336.98
960,,Ottawa Senators,Columbus Blue Jackets,OTT,CBJ,1,4,-3,3,827.8
961,,Minnesota Wild,Boston Bruins,MIN,BOS,4,2,2,-2,1790.33
962,,Seattle Kraken,Tampa Bay Lightning,SEA,TBL,1,4,-3,3,4068.44
963,,Calgary Flames,New Jersey Devils,CGY,NJD,6,3,3,-3,3245.46
964,OT,Montreal Canadiens,Dallas Stars,MTL,DAL,3,4,-1,1,2665.28
965,,New York Rangers,New York Islanders,NYR,NYI,1,2,-1,1,22.86
966,,Columbus Blue Jackets,Washington Capitals,CBJ,WSH,2,7,-5,5,527.51
967,,Toronto Maple Leafs,Carolina Hurricanes,TOR,CAR,3,2,1,-1,873.57
968,,Philadelphia Flyers,Nashville Predators,PHI,NSH,5,4,1,-1,1100.05
969,SO,St. Louis Blues,Pittsburgh Penguins,STL,PIT,2,3,-1,1,898.22
970,,Edmonton Oilers,Buffalo Sabres,EDM,BUF,6,1,5,-5,2771.35
971,,Vancouver Canucks,Detroit Red Wings,VAN,DET,0,1,-1,1,3158.96
972,,Los Angeles Kings,San Jose Sharks,LAK,SJS,3,0,3,-3,491.36
973,,Vegas Golden Knights,Florida Panthers,VEG,FLA,5,3,2,-2,3514.66
974,,Ottawa Senators,Philadelphia Flyers,OTT,PHI,3,1,2,-2,603.16
975,SO,Carolina Hurricanes,Washington Capitals,CAR,WSH,3,4,-1,1,375.51
976,,Winnipeg Jets,Boston Bruins,WPG,BOS,2,4,-2,2,2163.07
977,OT,Calgary Flames,Buffalo Sabres,CGY,BUF,0,1,-1,1,2788.75
978,,Anaheim Ducks,Florida Panthers,ANA,FLA,0,3,-3,3,3786.13
979,,San Jose Sharks,Colorado Avalanche,SJS,COL,3,5,-2,2,1491.28
980,,New York Islanders,Dallas Stars,NYI,DAL,4,2,2,-2,2228.59
981,,Minnesota Wild,Chicago Blackhawks,MIN,CHI,3,1,2,-2,545.48
982,,Edmonton Oilers,New Jersey Devils,EDM,NJD,6,3,3,-3,3226.62
983,,Vegas Golden Knights,Los Angeles Kings,VEG,LAK,5,1,4,-4,529.87
984,,Columbus Blue Jackets,St. Louis Blues,CBJ,STL,5,4,1,-1,636.79
985,,Arizona Coyotes,Pittsburgh Penguins,ARI,PIT,1,4,-3,3,2949.5
986,,Nashville Predators,Toronto Maple Leafs,NSH,TOR,6,3,3,-3,1045.26
987,,Montreal Canadiens,Ottawa Senators,MTL,OTT,5,1,4,-4,492.57
988,,Tampa Bay Lightning,New York Rangers,TBL,NYR,1,2,-1,1,1620.13
989,,Seattle Kraken,Detroit Red Wings,SEA,DET,4,2,2,-2,3111.55
990,,Vancouver Canucks,Calgary Flames,VAN,CGY,2,5,-3,3,673.71
991,,Philadelphia Flyers,New York Islanders,PHI,NYI,2,1,1,-1,152.12
992,,Washington Capitals,Dallas Stars,WSH,DAL,2,3,-1,1,1903.73
993,,Carolina Hurricanes,New York Rangers,CAR,NYR,0,2,-2,2,687.48
994,,Chicago Blackhawks,Winnipeg Jets,CHI,WPG,4,6,-2,2,1144.51
995,,San Jose Sharks,Arizona Coyotes,SJS,ARI,4,2,2,-2,969.59
996,OT,Vancouver Canucks,Buffalo Sabres,VAN,BUF,2,3,-1,1,3433.89
997,OT,Montreal Canadiens,Boston Bruins,MTL,BOS,2,3,-1,1,808.87
998,,Minnesota Wild,Vegas Golden Knights,MIN,VEG,3,0,3,-3,1981.11
999,OT,Colorado Avalanche,Edmonton Oilers,COL,EDM,3,2,1,-1,1563.65
1000,,Anaheim Ducks,Nashville Predators,ANA,NSH,3,6,-3,3,2919.66
1001,,Carolina Hurricanes,Tampa Bay Lightning,CAR,TBL,3,2,1,-1,942.12
1002,,New Jersey Devils,New York Rangers,NJD,NYR,7,4,3,-3,15.07
1003,,Washington Capitals,St. Louis Blues,WSH,STL,2,5,-3,3,1142.28
1004,,Pittsburgh Penguins,Columbus Blue Jackets,PIT,CBJ,5,1,4,-4,261.48
1005,,New York Islanders,Ottawa Senators,NYI,OTT,3,0,3,-3,540.23
1006,,Detroit Red Wings,Philadelphia Flyers,DET,PHI,6,3,3,-3,713.53
1007,,Winnipeg Jets,Vegas Golden Knights,WPG,VEG,4,0,4,-4,1939.98
1008,,Dallas Stars,Edmonton Oilers,DAL,EDM,5,3,2,-2,2572.06
1009,,Calgary Flames,San Jose Sharks,CGY,SJS,3,4,-1,1,1645.16
1010,,Arizona Coyotes,Seattle Kraken,ARI,SEA,2,4,-2,2,1780.08
1011,,Los Angeles Kings,Nashville Predators,LAK,NSH,6,1,5,-5,2858.76
1012,,Toronto Maple Leafs,New Jersey Devils,TOR,NJD,3,2,1,-1,537.22
1013,SO,Buffalo Sabres,Pittsburgh Penguins,BUF,PIT,4,3,1,-1,286.16
1014,,Colorado Avalanche,Vancouver Canucks,COL,VAN,1,3,-2,2,1776.45
1015,,Anaheim Ducks,Chicago Blackhawks,ANA,CHI,2,4,-2,2,2852.43
1016,,Montreal Canadiens,Florida Panthers,MTL,FLA,3,4,-1,1,2652.24
1017,,Boston Bruins,Tampa Bay Lightning,BOS,TBL,3,2,1,-1,1905.03
1018,SO,Carolina Hurricanes,Dallas Stars,CAR,DAL,3,4,-1,1,1692.44
1019,,New York Islanders,Detroit Red Wings,NYI,DET,5,2,3,-3,796.9
1020,,Winnipeg Jets,Ottawa Senators,WPG,OTT,2,5,-3,3,1664.39
1021,,St. Louis Blues,Philadelphia Flyers,STL,PHI,2,5,-3,3,1300.18
1022,OT,Minnesota Wild,Vancouver Canucks,MIN,VAN,3,2,1,-1,2305.29
1023,,Edmonton Oilers,San Jose Sharks,EDM,SJS,5,2,3,-3,1813.5
1024,SO,Los Angeles Kings,Chicago Blackhawks,LAK,CHI,3,4,-1,1,2790.47
1025,,Vegas Golden Knights,Nashville Predators,VEG,NSH,6,1,5,-5,2514.19
1026,SO,Buffalo Sabres,Washington Capitals,BUF,WSH,3,4,-1,1,468.87
1027,,New York Rangers,Pittsburgh Penguins,NYR,PIT,5,1,4,-4,507.31
1028,OT,Winnipeg Jets,Columbus Blue Jackets,WPG,CBJ,4,3,1,-1,1562.27
1029,,Calgary Flames,Arizona Coyotes,CGY,ARI,4,2,2,-2,1951.97
1030,,Colorado Avalanche,Philadelphia Flyers,COL,PHI,6,3,3,-3,2535.98
1031,,Boston Bruins,New York Islanders,BOS,NYI,6,3,3,-3,288.12
1032,OT,Detroit Red Wings,Tampa Bay Lightning,DET,TBL,1,2,-1,1,1601.96
1033,OT,Vegas Golden Knights,Chicago Blackhawks,VEG,CHI,5,4,1,-1,2357.47
1034,,Dallas Stars,Vancouver Canucks,DAL,VAN,1,4,-3,3,2842.37
1035,,Washington Capitals,New Jersey Devils,WSH,NJD,4,3,1,-1,317.63
1036,SO,Ottawa Senators,Florida Panthers,OTT,FLA,3,4,-1,1,2163.96
1037,,Montreal Canadiens,Toronto Maple Leafs,MTL,TOR,4,2,2,-2,781.41
1038,OT,Minnesota Wild,Columbus Blue Jackets,MIN,CBJ,3,2,1,-1,994.8
1039,,St. Louis Blues,Carolina Hurricanes,STL,CAR,2,7,-5,5,1063.14
1040,,Calgary Flames,Edmonton Oilers,CGY,EDM,9,5,4,-4,172.09
1041,,Los Angeles Kings,Seattle Kraken,LAK,SEA,4,2,2,-2,1547.98
1042,,San Jose Sharks,Anaheim Ducks,SJS,ANA,4,1,3,-3,477.91
1043,,New York Islanders,Tampa Bay Lightning,NYI,TBL,1,4,-3,3,1628.24
1044,OT,New York Rangers,Buffalo Sabres,NYR,BUF,5,4,1,-1,468.46
1045,,Pittsburgh Penguins,Detroit Red Wings,PIT,DET,11,2,9,-9,331.81
1046,OT,Minnesota Wild,Colorado Avalanche,MIN,COL,3,2,1,-1,1134.64
1047,,Nashville Predators,Philadelphia Flyers,NSH,PHI,5,4,1,-1,1100.05
1048,,Toronto Maple Leafs,Florida Panthers,TOR,FLA,5,2,3,-3,1946.12
1049,OT,Winnipeg Jets,Arizona Coyotes,WPG,ARI,2,1,1,-1,2200.88
1050,SO,New Jersey Devils,Montreal Canadiens,NJD,MTL,3,2,1,-1,968.08
